brand_id;category_id;name;description;network;release_date;dimensions;weight;build;sim;screen_type;screen_size;resolution;os;chipset;cpu;gpu;card_slot;main_camera;selfie_camera;jack;wlan;bluetooth;positioning;nfc;radio;usb;sensors;battery;charging
5;3;Mi A2 Lite;Xiaomi budget phone with Android One;GSM / HSPA / LTE;2018-07-01;149.3 x 71.7 x 8.8 mm;178 g;Plastic back, aluminum frame;Hybrid Dual SIM;IPS LCD;5.84 inches;1080 x 2280 pixels;Android 8.1 (Oreo);Snapdragon 625;Octa-core 2.0 GHz;Adreno 506;microSDXC;12 MP + 5 MP;5 MP;Yes;Wi-Fi 802.11 b/g/n;4.2;GPS, GLONASS, BDS;No;FM radio;microUSB 2.0;Fingerprint, accelerometer, gyro;4000 mAh;10W
5;2;Redmi Note 10;Mid-range AMOLED phone;GSM / HSPA / LTE;2021-03-04;160.5 x 74.5 x 8.3 mm;178.8 g;Glass front, plastic back;Dual SIM;AMOLED;6.43 inches;1080 x 2400 pixels;Android 11;Snapdragon 678;Octa-core;Adreno 612;microSDXC;48 MP + 8 MP + 2 MP + 2 MP;13 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac;5.0;GPS, GLONASS, GALILEO, BDS;Yes;FM radio;USB Type-C 2.0;Fingerprint, gyro, compass;5000 mAh;33W
4;1;iPhone 14 Pro;Apple’s flagship model 2022;GSM / CDMA / LTE / 5G;2022-09-16;147.5 x 71.5 x 7.9 mm;206 g;Glass front/back, stainless frame;Nano-SIM + eSIM;LTPO Super Retina XDR OLED;6.1 inches;1179 x 2556 pixels;iOS 16;Apple A16 Bionic;Hexa-core;Apple GPU (5-core);No;48 MP + 12 MP + 12 MP;12 MP;No;Wi-Fi 6;5.3;GPS, GLONASS, GALILEO, BDS;Yes;No;Lightning;Face ID, accelerometer;3200 mAh;20W
2;1;Galaxy S23 Ultra;Samsung's flagship with stylus;GSM / CDMA / HSPA / EVDO / LTE / 5G;2023-02-17;163.4 x 78.1 x 8.9 mm;234 g;Glass front/back, aluminum frame;Dual SIM;Dynamic AMOLED 2X;6.8 inches;1440 x 3088 pixels;Android 13;Snapdragon 8 Gen 2;Octa-core;Adreno 740;No;200 MP + 10 MP + 10 MP + 12 MP;12 MP;No;Wi-Fi 6e;5.3;GPS, GLONASS, BDS, GALILEO;Yes;No;USB Type-C 3.2;Fingerprint, gyro, barometer;5000 mAh;45W
6;3;Oppo A17;Entry-level Oppo phone;GSM / HSPA / LTE;2022-09-26;164.2 x 75.6 x 8.3 mm;189 g;Plastic frame & back;Dual SIM;IPS LCD;6.56 inches;720 x 1612 pixels;Android 12;Helio G35;Octa-core;PowerVR GE8320;microSDXC;50 MP + 2 MP;5 MP;Yes;Wi-Fi 802.11 b/g/n;5.3;GPS;No;No;microUSB 2.0;Fingerprint, accelerometer;5000 mAh;10W
6;2;Oppo Reno8 T;Mid-range portrait master;GSM / HSPA / LTE;2023-02-01;160.8 x 73.8 x 7.8 mm;180 g;Plastic back, frame;Dual SIM;AMOLED;6.43 inches;1080 x 2400 pixels;Android 13;Helio G99;Octa-core;Mali-G57 MC2;microSDXC;108 MP;32 MP;No;Wi-Fi 802.11 a/b/g/n/ac;5.3;GPS, GLONASS, GALILEO, BDS;Yes;No;USB Type-C 2.0;Fingerprint, gyro;5000 mAh;33W
7;2;Vivo Y33s;Balanced mid-range;GSM / HSPA / LTE;2021-08-24;164.3 x 76.1 x 8 mm;182 g;Plastic;Dual SIM;IPS LCD;6.58 inches;1080 x 2408 pixels;Android 11;Helio G80;Octa-core;Mali-G52 MC2;microSDXC;50 MP + 2 MP + 2 MP;16 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac;5.0;GPS, GLONASS, GALILEO;No;FM radio;USB Type-C 2.0;Fingerprint, proximity;5000 mAh;18W
1;1;Huawei P50 Pro;Premium photography flagship;GSM / CDMA / HSPA / LTE / 5G;2021-08-12;158.8 x 72.8 x 8.5 mm;195 g;Glass back, aluminum frame;Dual SIM;OLED;6.6 inches;1228 x 2700 pixels;HarmonyOS 2.0;Kirin 9000;Octa-core;Mali-G78 MP24;NM (Nano Memory);50 MP + 64 MP + 13 MP + 40 MP;13 MP;No;Wi-Fi 802.11 a/b/g/n/ac/ax;5.2;GPS, GLONASS, GALILEO, QZSS;Yes;No;USB Type-C 3.1;Fingerprint, barometer;4360 mAh;66W
3;2;OnePlus Nord CE 3 Lite;Affordable OnePlus 5G;GSM / HSPA / LTE / 5G;2023-04-04;165.5 x 76 x 8.3 mm;195 g;Plastic frame/back;Dual SIM;IPS LCD;6.72 inches;1080 x 2400 pixels;Android 13;Snapdragon 695;Octa-core;Adreno 619;microSDXC;108 MP + 2 MP + 2 MP;16 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac;5.1;GPS, GLONASS, GALILEO;Yes;No;USB Type-C 2.0;Fingerprint, proximity;5000 mAh;67W
2;2;Samsung Galaxy A14;Budget 5G device;GSM / HSPA / LTE / 5G;2023-03-27;167.7 x 78 x 9.1 mm;201 g;Plastic back;Dual SIM;PLS LCD;6.6 inches;1080 x 2408 pixels;Android 13;Exynos 1330;Octa-core;Mali-G68 MP2;microSDXC;50 MP + 2 MP + 2 MP;13 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac;5.2;GPS, GLONASS, BDS;No;No;USB Type-C 2.0;Fingerprint, compass;5000 mAh;15W
4;3;iPhone SE (2022);Compact budget iPhone;GSM / CDMA / HSPA / LTE / 5G;2022-03-18;138.4 x 67.3 x 7.3 mm;144 g;Glass front/back, aluminum frame;Nano-SIM + eSIM;Retina IPS LCD;4.7 inches;750 x 1334 pixels;iOS 15.4;Apple A15 Bionic;Hexa-core;Apple GPU (4-core);No;12 MP;7 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac/ax;5.0;GPS, GLONASS;Yes;No;Lightning;Touch ID, accelerometer;2018 mAh;20W
5;2;Redmi Note 11;Mid-range AMOLED refresh;GSM / HSPA / LTE;2022-01-26;159.9 x 73.9 x 8.1 mm;179 g;Glass front, plastic frame;Dual SIM;AMOLED;6.43 inches;1080 x 2400 pixels;Android 11;Snapdragon 680;Octa-core;Adreno 610;microSDXC;50 MP + 8 MP + 2 MP + 2 MP;13 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac;5.0;GPS, GLONASS, BDS;Yes;FM radio;USB Type-C 2.0;Fingerprint, gyro;5000 mAh;33W
1;3;Huawei Y7 Prime;Basic daily use phone;GSM / HSPA / LTE;2019-01-15;158.9 x 76.9 x 8.1 mm;168 g;Plastic;Dual SIM;IPS LCD;6.26 inches;720 x 1520 pixels;Android 8.1;Snapdragon 450;Octa-core;Adreno 506;microSDXC;13 MP + 2 MP;16 MP;Yes;Wi-Fi 802.11 b/g/n;4.2;GPS, GLONASS;No;FM radio;microUSB 2.0;Fingerprint;4000 mAh;10W
7;3;Vivo Y21;Budget stylish Vivo phone;GSM / HSPA / LTE;2021-08-20;164.3 x 76.1 x 8 mm;182 g;Plastic back;Dual SIM;IPS LCD;6.51 inches;720 x 1600 pixels;Android 11;Helio P35;Octa-core;PowerVR GE8320;microSDXC;13 MP + 2 MP;8 MP;Yes;Wi-Fi 802.11 b/g/n;5.0;GPS;No;No;microUSB 2.0;Fingerprint, proximity;5000 mAh;18W
